TIME;CH1;CH2;CH3;CH4;CH5
7:48:09,35;155993;405521;-1;-1;motor
7:48:09,25;155893;405504;-1;-1;motor
7:48:09,15;155793;405519;-1;-1;motor
7:48:09,05;155693;405539;-1;-1;motor
7:48:08,95;155593;405600;-1;-1;motor
7:48:08,85;155493;405578;-1;-1;motor
7:48:08,75;155393;405562;-1;-1;motor
7:48:08,65;155293;405551;-1;-1;motor
7:48:08,55;155193;405778;-1;-1;motor
7:48:08,45;155093;397138;-1;-1;motor
7:48:08,32;154969;348599;67,06;-1;motor
7:48:08,22;154868;391382;56,54;-1;motor
7:48:08,12;154768;860558;50,23;-1;motor
7:48:08,00;154644;1086164;45,33;80,02;motor
7:48:07,90;154544;407381;52,44;65,27;motor
7:48:07,80;154444;403137;51,43;60,78;motor
7:48:07,70;154343;406424;53,65;42,5;motor
7:48:07,60;154243;774798;48,31;49,55;motor
7:48:07,50;154142;1083935;52,62;36,29;motor
7:48:07,40;154044;496983;61,04;54,86;motor
7:48:07,30;153944;405704;64,69;48,57;motor
7:48:07,22;153868;405605;-1;50,1;motor
7:48:07,12;153768;405598;-1;57,97;motor
7:48:07,02;153668;405588;-1;63,75;motor
7:48:06,95;153593;405603;-1;-1;motor
7:48:06,85;153493;405658;-1;-1;motor
7:48:06,75;153393;405669;-1;-1;motor
7:48:06,65;153293;405679;-1;-1;motor
7:48:06,55;153193;405640;-1;-1;motor
7:48:06,45;153093;405653;-1;-1;motor
7:48:06,35;152993;405701;-1;-1;motor
7:48:06,25;152893;405696;-1;-1;motor
7:48:06,15;152793;405706;-1;-1;motor
7:48:06,05;152693;405742;-1;-1;motor
