TIME;CH1;CH2;CH3;CH4;CH5;;;
7:46:32,65;59293;404714;-1;-1;motor;;;
7:46:32,55;59193;404727;-1;-1;motor;;;
7:46:32,45;59093;404700;-1;-1;motor;;;
7:46:32,35;58993;404650;-1;-1;motor;;;
7:46:32,25;58893;404630;-1;-1;motor;;;
7:46:32,15;58793;404639;-1;-1;motor;;;
7:46:32,05;58693;404672;-1;-1;motor;;;
7:46:31,95;58593;404450;-1;-1;motor;;;
7:46:31,85;58493;404343;-1;-1;motor;;;
7:46:31,75;58393;404653;-1;-1;motor;;;
7:46:31,62;58268;405107;55,84;-1;motor;;;
7:46:31,52;58168;407442;56,68;-1;motor;;;
7:46:31,42;58067;704982;43,13;-1;motor;;;
7:46:31,32;57967;1472733;45,33;-1;motor;;;
7:46:31,22;57868;767405;49,89;-1;motor;;;
7:46:31,10;57744;407829;53,13;62,61;motor;;;
7:46:31,00;57643;405132;54,49;56,99;motor;;;
7:46:30,90;57542;404732;51,11;41,35;motor;;;
7:46:30,80;57443;404081;49,74;46,75;motor;;;
7:46:30,70;57343;403522;51,26;48,59;motor;;;
7:46:30,60;57243;480490;55,53;51,47;motor;;;
7:46:30,50;57144;1031347;61,45;56,72;motor;;;
7:46:30,40;57044;900580;65,12;55,89;motor;;;
7:46:30,30;56944;433793;72,3;50,11;motor;;;
7:46:30,20;56844;403858;70,97;48,57;motor;;;
7:46:30,12;56768;403723;-1;50,46;motor;;;
7:46:30,02;56668;403564;-1;56,58;motor;;;
7:46:29,92;56568;403581;-1;58,4;motor;;;
7:46:29,82;56468;403698;-1;60,35;motor;;;
7:46:29,75;56393;403700;-1;-1;motor;;;
7:46:29,62;56269;403737;-1;64,02;motor;;;
7:46:29,55;56193;403751;-1;-1;motor;;;
7:46:29,45;56093;403758;-1;-1;motor;;;
7:46:29,35;55993;403723;-1;-1;motor;;;
7:46:29,25;55893;403700;-1;-1;motor;;;
7:46:29,15;55793;403674;-1;-1;motor;;;
7:46:29,05;55693;403704;-1;-1;motor;;;
7:46:28,95;55593;403717;-1;-1;motor;;;
7:46:28,85;55493;403695;-1;-1;motor;;;
7:46:28,75;55393;403729;-1;-1;motor;;;
7:46:28,65;55293;403754;-1;-1;motor;;;
