TIME;CH1;CH2;CH3;CH4;CH5;
8:13:24,60;276193;396528;-1;-1;motor;
8:13:24,50;276093;396506;-1;-1;motor;
8:13:24,40;275993;396526;-1;-1;motor;
8:13:24,30;275893;396531;-1;-1;motor;
8:13:24,20;275793;396458;-1;-1;motor;
8:13:24,10;275693;396440;-1;-1;motor;
8:13:24,00;275593;396486;-1;-1;motor;
8:13:23,90;275493;396488;-1;-1;motor;
8:13:23,80;275393;401360;-1;-1;motor;
8:13:23,70;275293;796548;-1;-1;motor;
8:13:23,57;275168;1242075;-1;56,85;motor;
8:13:23,47;275067;522359;-1;42,72;motor;
8:13:23,37;274967;390408;-1;40,66;motor;
8:13:23,27;274867;393925;-1;43,36;motor;
8:13:23,15;274743;398523;50,71;49,36;motor;
8:13:23,05;274642;397546;47,9;33,94;motor;
8:13:22,95;274542;442577;49,86;43,94;motor;
8:13:22,85;274442;891035;49,86;42,94;motor;
8:13:22,75;274342;816756;39,69;49,92;motor;
8:13:22,65;274243;435803;40,83;60,21;motor;
8:13:22,55;274144;400142;50,71;64,84;motor;
8:13:22,45;274044;396196;49,86;71,98;motor;
8:13:22,37;273968;398398;52,24;-1;motor;
8:13:22,27;273868;400669;56,78;-1;motor;
8:13:22,17;273769;401025;68,14;-1;motor;
8:13:22,08;273669;400995;72,97;-1;motor;
8:13:21,97;273569;400976;79,04;-1;motor;
8:13:21,90;273493;400988;-1;-1;motor;
8:13:21,80;273393;401007;-1;-1;motor;
8:13:21,70;273293;401052;-1;-1;motor;
8:13:21,60;273193;401059;-1;-1;motor;
8:13:21,50;273093;401023;-1;-1;motor;
8:13:21,40;272993;401003;-1;-1;motor;
8:13:21,30;272893;400985;-1;-1;motor;
8:13:21,20;272793;400958;-1;-1;motor;
8:13:21,10;272693;400970;-1;-1;motor;
8:13:21,00;272593;401048;-1;-1;motor;
