TIME;CH1;CH2;CH3;CH4;CH5
8:30:06,00;118993;396020;-1;-1;motor
8:30:05,90;118893;396009;-1;-1;motor
8:30:05,80;118793;396059;-1;-1;motor
8:30:05,70;118693;396040;-1;-1;motor
8:30:05,60;118593;396011;-1;-1;motor
8:30:05,50;118493;395800;-1;-1;motor
8:30:05,40;118393;395314;-1;-1;motor
8:30:05,30;118293;395098;-1;-1;motor
8:30:05,20;118193;408924;-1;-1;motor
8:30:05,10;118093;592254;-1;-1;motor
8:30:04,98;117968;601948;-1;52,96;motor
8:30:04,87;117867;434367;-1;44,93;motor
8:30:04,75;117744;397252;84,46;44,32;motor
8:30:04,65;117643;396114;58,02;44,92;motor
8:30:04,55;117543;390786;49,29;47,35;motor
8:30:04,45;117442;410937;45,5;49,12;motor
8:30:04,35;117342;410043;45,89;49,13;motor
8:30:04,25;117244;384757;47,09;65,65;motor
8:30:04,18;117168;384201;46,89;-1;motor
8:30:04,08;117068;384238;50,54;-1;motor
8:30:03,98;116969;384268;64,64;-1;motor
8:30:03,90;116893;384243;-1;-1;motor
8:30:03,80;116793;384289;-1;-1;motor
8:30:03,70;116693;384271;-1;-1;motor
8:30:03,60;116593;384257;-1;-1;motor
8:30:03,50;116493;384270;-1;-1;motor
8:30:03,40;116393;384318;-1;-1;motor
8:30:03,30;116293;384398;-1;-1;motor
8:30:03,20;116193;384448;-1;-1;motor
8:30:03,10;116093;384442;-1;-1;motor
8:30:03,00;115993;384413;-1;-1;motor
