;;;;;
;;;;;
TIME;CH1;CH2;CH3;CH4;CH5
9:32:39,40;125093;382321;-1;-1;non motor
9:32:39,30;124993;382279;-1;-1;non motor
9:32:39,20;124893;382291;-1;-1;non motor
9:32:39,10;124793;382308;-1;-1;non motor
9:32:39,00;124693;382267;-1;-1;non motor
9:32:38,90;124593;382204;-1;-1;non motor
9:32:38,80;124493;382210;-1;-1;non motor
9:32:38,70;124393;381919;-1;-1;non motor
9:32:38,60;124293;381812;-1;-1;non motor
9:32:38,50;124193;380966;-1;-1;non motor
9:32:38,38;124069;381909;67,95;-1;non motor
9:32:38,28;123969;384602;64,71;-1;non motor
9:32:38,18;123868;386966;62,89;-1;non motor
9:32:38,08;123768;497717;50,51;-1;non motor
9:32:37,98;123667;1054355;43,25;-1;non motor
9:32:37,88;123567;1561513;43,05;-1;non motor
9:32:37,78;123468;1562291;48,45;-1;non motor
9:32:37,68;123368;1393523;60,51;-1;non motor
9:32:37,58;123268;1559187;62,19;-1;non motor
9:32:37,48;123169;1156799;65,68;-1;non motor
9:32:37,40;123093;569503;-1;-1;non motor
9:32:37,28;122969;47382;-1;68;non motor
9:32:37,18;122868;243755;-1;56,65;non motor
9:32:37,08;122768;368221;-1;57,92;non motor
9:32:36,98;122668;269484;-1;51,91;non motor
9:32:36,88;122568;40470;-1;50,04;non motor
9:32:36,78;122468;228683;-1;47,11;non motor
9:32:36,68;122368;357511;-1;57,08;non motor
9:32:36,58;122269;354518;-1;69,42;non motor
9:32:36,50;122193;351461;-1;-1;non motor
9:32:36,40;122093;347721;-1;-1;non motor
9:32:36,30;121993;344871;-1;-1;non motor
9:32:36,20;121893;0;-1;-1;non motor
9:32:36,10;121793;348914;-1;-1;non motor
9:32:36,00;121693;345009;-1;-1;non motor
9:32:35,90;121593;347314;-1;-1;non motor
9:32:35,80;121493;352625;-1;-1;non motor
9:32:35,70;121393;348324;-1;-1;non motor
9:32:35,60;121293;341899;-1;-1;non motor
