TIME;CH1;CH2;CH3;CH4;CH5
9:35:42,60;308293;385783;-1;-1;non motor
9:35:42,50;308193;385796;-1;-1;non motor
9:35:42,40;308093;385882;-1;-1;non motor
9:35:42,30;307993;385945;-1;-1;non motor
9:35:42,20;307893;385983;-1;-1;non motor
9:35:42,10;307793;385957;-1;-1;non motor
9:35:42,00;307693;385964;-1;-1;non motor
9:35:41,90;307593;386023;-1;-1;non motor
9:35:41,80;307493;386095;-1;-1;non motor
9:35:41,70;307393;386097;-1;-1;non motor
9:35:41,57;307268;386177;-1;57,08;non motor
9:35:41,47;307168;729828;-1;54,45;non motor
9:35:41,37;307068;1392774;-1;52,08;non motor
9:35:41,27;306968;1514453;-1;50,39;non motor
9:35:41,17;306868;1416999;-1;51,07;non motor
9:35:41,07;306768;1440913;-1;50,73;non motor
9:35:40,95;306644;1526243;70,06;51,4;non motor
9:35:40,85;306544;1536063;70,59;54,47;non motor
9:35:40,77;306468;1197045;59,12;-1;non motor
9:35:40,67;306368;585248;48,65;-1;non motor
9:35:40,57;306267;391041;45,46;-1;non motor
9:35:40,47;306167;386556;40,11;-1;non motor
9:35:40,37;306067;386465;41,95;-1;non motor
9:35:40,27;305967;386444;43,46;-1;non motor
9:35:40,17;305868;386485;57,16;-1;non motor
9:35:40,10;305793;386406;-1;-1;non motor
9:35:40,00;305693;386420;-1;-1;non motor
9:35:39,90;305593;386484;-1;-1;non motor
9:35:39,80;305493;386480;-1;-1;non motor
9:35:39,70;305393;386448;-1;-1;non motor
9:35:39,60;305293;386491;-1;-1;non motor
9:35:39,50;305193;386520;-1;-1;non motor
9:35:39,40;305093;386526;-1;-1;non motor
9:35:39,30;304993;386521;-1;-1;non motor
9:35:39,20;304893;386552;-1;-1;non motor
