filename,label,baseline_mean,baseline_std,global_noise_threshold,threshold_event,event_start_index,event_end_index,event_sample_count,mean_delta_raw,max_delta_raw,min_delta_raw,variance_delta_raw,std_delta_raw,range_delta_raw,duration_ms,mean_raw_original_event,max_raw_original_event,min_raw_original_event,range_raw_original_event
Percobaan 27 Motor.csv,motor,395536.0,56.78203941388509,1941.5969999999945,1941.5969999999945,10,20,11,257508.18181818182,1036064.0,45.0,106777425132.14873,326768.15195509605,1036019.0,1027,652921.0909090909,1431600,394904,1036696
Percobaan 7 Non Motor.csv,non_motor,391492.0,24.454038521274967,1941.5969999999945,1941.5969999999945,12,26,15,978754.8666666667,2131784.0,16950.0,767534217430.3822,876090.302098124,2114834.0,1400,1311387.8,2523276,147551,2375725
Percobaan 44 Motor.csv,motor,394298.7,35.519149764598815,1941.5969999999945,1941.5969999999945,12,23,12,182295.83333333334,870200.3,101.29999999998836,74736414357.46223,273379.6158411637,870099.0,1124,576569.25,1264499,394147,870352
Percobaan 50 Motor.csv,motor,399606.2,18.427153876819936,1941.5969999999945,1941.5969999999945,14,25,12,167775.35000000003,850561.8,456.20000000001164,80786806667.06752,284230.2001319837,850105.6000000001,1124,566603.75,1250168,397315,852853
Percobaan 81 Motor.csv,motor,389800.0,44.47021475099935,1941.5969999999945,1941.5969999999945,10,20,11,208927.54545454544,699408.0,217.0,83708801313.52066,289324.73332489334,699191.0,1026,598727.5454545454,1089208,390017,699191
Percobaan 47 Non Motor.csv,non_motor,388519.4,77.50638683360229,1941.5969999999945,1941.5969999999945,12,26,15,1146941.6000000003,1601426.6,10607.599999999977,297246189613.2,545202.8884857453,1590819.0,1426,1535461.0,1989946,399127,1590819
Percobaan 54 Motor.csv,motor,397614.8,44.5461558386355,1941.5969999999945,1941.5969999999945,13,24,12,258892.80000000005,1419711.2,27.79999999998836,164843118722.13333,406008.76680452767,1419683.4,1123,656484.0,1817326,397501,1419825
Percobaan 36 Non Motor.csv,non_motor,386015.8,41.21358999165202,1941.5969999999945,1941.5969999999945,13,22,10,686470.3,1205421.2,2991.2000000000116,207991694023.48996,456061.06391961366,1202430.0,900,1072486.1,1591437,389007,1202430
Percobaan 18 Non Motor.csv,non_motor,386285.0,188.4489320744482,1941.5969999999945,1941.5969999999945,4,26,23,727075.1304347826,2247356.0,182.0,837181933444.5481,914976.4660604928,2247174.0,2225,1067785.7826086956,2633641,185045,2448596
Percobaan 6 Non Motor.csv,non_motor,390880.9,81.10172624549985,1941.5969999999945,1941.5969999999945,9,25,17,846594.5823529412,2129004.1,2503.0999999999767,842279254257.9534,917757.7317887077,2126501.0,1625,1217260.705882353,2519885,280416,2239469
Percobaan 86 Motor.csv,motor,390783.1,55.75024663622574,1941.5969999999945,1941.5969999999945,11,20,10,147874.02000000002,549354.9,656.9000000000233,31307880169.209602,176940.32940290804,548698.0,925,538282.7,940138,388911,551227
Percobaan 14 Motor.csv,motor,400635.3,50.46791059673463,1941.5969999999945,1941.5969999999945,10,20,11,207222.4818181818,794058.7,202.29999999998836,68119926598.14877,260997.94366651392,793856.3999999999,1026,607821.0,1194694,400433,794261
Percobaan 49 Motor.csv,motor,398639.7,36.723425766123725,1941.5969999999945,1941.5969999999945,9,18,10,242338.03999999998,757612.3,217.70000000001164,61891181693.96842,248779.38357904262,757394.6000000001,950,640934.2,1156252,398422,757830
Percobaan 51 Motor.csv,motor,403542.6,20.34797287200865,1941.5969999999945,1941.5969999999945,0,19,20,64511.18000000001,475983.4,2046.4000000000233,14325818106.707605,119690.50967686455,473937.0,1949,459423.8,879526,395575,483951
Percobaan 95 Motor.csv,motor,388165.7,29.84308965238016,1941.5969999999945,1941.5969999999945,11,23,13,167513.34615384616,846316.3,591.2999999999884,69392541583.8779,263424.64118581975,845725.0,1225,551387.3846153846,1234482,369450,865032
Percobaan 1 Motor.csv,motor,403397.1,15.527073130503378,1941.5969999999945,1941.5969999999945,10,25,16,215288.2625,1043862.9,378.9000000000233,118554429584.34111,344317.33848927956,1043484.0,1524,617358.0625,1447260,399188,1048072
Percobaan 9 Non Motor.csv,non_motor,392584.2,43.65959230226503,1941.5969999999945,1941.5969999999945,12,21,10,1461778.6,2370231.8,20969.79999999999,732228284572.5598,855703.3858601705,2349262.0,900,1854362.8,2762816,413554,2349262
Percobaan 38 Non Motor.csv,non_motor,385126.5,98.76158159932434,1941.5969999999945,1941.5969999999945,8,22,15,464410.5,1154353.5,825.5,241702495379.06668,491632.47998791403,1153528.0,1425,849183.6,1539480,384170,1155310
Percobaan 40 Motor.csv,motor,395076.5,28.573589204018457,1941.5969999999945,1941.5969999999945,8,18,11,88193.68181818182,278041.5,1336.5,11062113210.694214,105176.5810943397,276705.0,1050,478701.54545454547,673118,378727,294391
Percobaan 26 Motor.csv,motor,397798.0,28.064212085857676,1941.5969999999945,1941.5969999999945,11,19,9,91662.33333333333,348933.0,212.0,11613100519.333334,107764.09661540031,348721.0,826,489257.6666666667,746731,397235,349496
Percobaan 13 Motor.csv,motor,399874.8,31.612655693566776,1941.5969999999945,1941.5969999999945,9,17,9,156563.42222222223,418617.2,361.20000000001164,26066841371.728394,161452.28822078797,418256.0,851,556438.2222222222,818492,400236,418256
Percobaan 43 Motor.csv,motor,398996.6,30.43419129860362,1941.5969999999945,1941.5969999999945,0,16,17,20874.51764705882,177892.40000000002,864.5999999999767,1768439785.4214542,42052.82137290498,177027.80000000005,1650,415719.82352941175,576889,394700,182189
Percobaan 57 Motor.csv,motor,397125.0,34.790803382503256,1941.5969999999945,1941.5969999999945,10,17,8,92837.125,190533.0,1890.0,3803350977.109375,61671.314053694165,188643.0,727,489962.125,587658,399015,188643
Percobaan 4 Non Motor.csv,non_motor,379222.5,365.56292208045386,1941.5969999999945,1941.5969999999945,0,24,25,569921.46,2044987.5,3233.5,614560995104.7583,783939.4078018775,2041754.0,2425,949143.96,2424210,382456,2041754
Percobaan 65 Motor.csv,motor,389838.6,16.0822883943797,1941.5969999999945,1941.5969999999945,9,19,11,108942.9454545455,451118.4,33.40000000002328,19982384889.884293,141359.0636990932,451085.0,1049,498781.54545454547,840957,389872,451085
Percobaan 22 Non Motor.csv,non_motor,383100.7,51.594670267383236,1941.5969999999945,1941.5969999999945,0,25,26,187044.65384615384,850890.3,2993.7000000000116,42361353413.90864,205818.73921950994,847896.6000000001,2525,419439.6153846154,1233991,-46931,1280922
Percobaan 73 Motor.csv,motor,388482.3,37.10539044397727,1941.5969999999945,1941.5969999999945,9,17,9,112982.05555555556,370920.7,483.29999999998836,20143473848.086918,141927.7064145226,370437.4,850,501234.22222222225,759403,387930,371473
Percobaan 6 Motor.csv,motor,406428.2,14.034243834279067,1941.5969999999945,1941.5969999999945,11,20,10,169361.5,543971.8,2107.7999999999884,42167496739.21,205347.25890357047,541864.0,925,575789.7,950400,408536,541864
Percobaan 78 Motor.csv,motor,390878.0,47.09777064787674,1941.5969999999945,1941.5969999999945,9,23,15,153296.26666666666,942542.0,2318.0,62177778052.32889,249354.72334072375,940224.0,1426,529518.9333333333,1333420,290691,1042729
Percobaan 62 Motor.csv,motor,389629.9,39.93356983791957,1941.5969999999945,1941.5969999999945,10,17,8,112028.29999999999,323487.1,291.9000000000233,13365941892.369997,115611.16681519133,323195.19999999995,726,501278.75,713117,388404,324713
Percobaan 74 Motor.csv,motor,389736.3,36.73976047826115,1941.5969999999945,1941.5969999999945,12,26,15,200973.8333333334,1422719.7,46.70000000001164,136188709365.84889,369037.54465616215,1422673.0,1400,590710.1333333333,1812456,389783,1422673
Percobaan 40 Non Motor.csv,non_motor,383754.3,22.423425251285764,1941.5969999999945,1941.5969999999945,12,21,10,741321.4,1233681.7,2967.7000000000116,230476373066.61002,480079.5486860589,1230714.0,874,1125075.7,1617436,386722,1230714
Percobaan 49 Non Motor.csv,non_motor,389006.6,14.270248771482578,1941.5969999999945,1941.5969999999945,9,21,13,1010224.6307692309,1589039.4,11851.400000000023,314779190254.1775,561051.8605745618,1577188.0,1226,1399231.2307692308,1978046,400858,1577188
